,z0,da0,n0,f,E,T,Q,score
0,2.0,88.5,731.0,1.24,0.7886922879719018,583.092810588879,0.00113660446798567,0.5874417231119381
1,3.0,79.0,716.0,2.59,0.4539646355006085,377.35171825365734,0.004699433844733323,0.4125582768880619
2,2.0,88.5,732.0,1.25,0.7847688693300532,580.2957315860718,0.0011497574638120076,0.3808016148154338
3,2.0,86.5,732.0,1.25,0.7799914778288405,577.620525066808,0.0011688410174286966,0.37969405006207047
4,2.0,88.5,732.0,1.3,0.7669467652418008,568.9021096603086,0.0012171071412360266,0.3763025054965414
5,2.0,88.5,731.0,1.31,0.7637231614998733,567.1140191412077,0.0012308940163792963,0.37572011671328265
6,2.0,88.5,732.0,1.33,0.7568840166047984,562.4771348901412,0.0012587847063243018,0.3740106540441239
7,2.0,88.5,732.0,1.36,0.7472562617333239,556.3356148892459,0.001301413090387975,0.3718593976312439
8,2.0,88.5,732.0,1.38,0.7410655464843725,552.389614115724,0.0013303602458612,0.3704955350268881
9,2.0,88.5,732.0,1.41,0.7321019576586596,546.6805066136069,0.001374573328217203,0.3685484947263556
10,2.0,88.5,732.0,1.42,0.7291964928706708,544.8310774227804,0.0013895223154415147,0.3679247661926374
11,2.0,88.5,732.0,1.43,0.7263308011238575,543.0075143744828,0.0014045769492186482,0.36731329215204517
12,2.0,88.5,732.0,1.46,0.7179642740776535,537.6867071239705,0.001450374729866981,0.36555027778015525
13,2.0,88.5,732.0,1.47,0.7152496938746389,535.9613659973872,0.0014658519498554027,0.36498573920205135
14,3.0,89.0,732.0,1.22,0.6362732195403774,486.96589704717735,0.0015116906528143258,0.32318989594001485
15,3.0,85.5,732.0,1.21,0.632812013261287,485.40940240966216,0.0015304079086752391,0.3223879744382384
16,3.0,89.0,731.0,1.25,0.6286699515090215,482.3691925070408,0.001550612801489814,0.3207416846363594
17,3.0,89.0,731.0,1.29,0.6189007712583773,476.2233531534971,0.0016039797421838705,0.317503927884209
18,3.0,89.0,732.0,1.31,0.6141093161937735,473.0330902464728,0.0016312935307280728,0.31582450833318826
19,3.0,89.0,732.0,1.33,0.6095816601116375,470.1929859362205,0.0016590275314037244,0.3143723762943644
20,3.0,89.0,730.0,1.35,0.6054291326523864,467.9385835760221,0.0016871817442108252,0.31330098840075726
21,3.0,89.0,730.0,1.37,0.6011542855877707,465.25576618553976,0.0017157561691493752,0.31196756291487865
22,3.0,89.0,730.0,1.42,0.5909809695608486,458.8793516130907,0.0017890306595708405,0.3088801965419397
23,3.0,89.0,731.0,1.44,0.5869889775896259,456.21736567451404,0.001819075826969463,0.30758415382527055
24,3.0,89.0,732.0,1.45,0.584976321973024,454.7976618820257,0.0018342559902180678,0.30687964821229
25,3.0,85.5,730.0,1.45,0.5799018026174458,452.55700119968304,0.001879464119199095,0.3060288644065002
26,3.0,89.0,732.0,1.49,0.5776336243395861,450.2169502506881,0.0018960271735411096,0.3047979730579195
27,3.0,89.0,731.0,1.52,0.5724831398010402,447.16202397350065,0.0019434586178784456,0.3035072915475942
28,3.0,89.0,731.0,1.54,0.5690861244856176,445.0451908485884,0.0019756048459343145,0.30260099031983617
29,3.0,89.0,730.0,1.56,0.565881354218311,443.1999116772478,0.0020081712861216325,0.30188425478287984
30,3.0,89.0,731.0,1.58,0.562543359196091,440.97229673483315,0.0020411579384404,0.3009129579498658
31,3.0,89.0,731.0,1.61,0.557844022627134,438.05043791409577,0.0020914258146650182,0.29975030903922356
32,3.0,89.0,732.0,1.64,0.5532098943306186,435.0293773876403,0.002142639168185397,0.29852820632240473
33,3.0,79.0,730.0,1.59,0.5467912458584597,433.0824474551331,0.0022259003456549134,0.2983732262040165
34,3.0,89.0,732.0,1.66,0.5502782506536282,433.21174818555664,0.002177306669029961,0.29785411944520257
35,3.0,89.0,732.0,1.7,0.5446163403838091,429.7047930191835,0.0022479023071134375,0.29660693058772253
36,3.0,89.0,732.0,1.72,0.5418814591214379,428.01248325866624,0.0022838304443523498,0.29603158283585046
37,3.0,85.5,732.0,1.71,0.5385748051736966,426.5614845578066,0.002328688089384559,0.29567639221976466
38,3.0,85.5,729.0,1.75,0.5335934886680362,423.87818604527286,0.002404360676377826,0.29507043418881623
39,3.0,89.0,732.0,1.76,0.53659308757847,424.7432484940306,0.0023569473552245224,0.2949720954101295
